rsi_dip,rsi_recovery_max,adx_min,trades_floor,volume_min,tickers_passed,tickers
40,65,25,10,0.8,1,CASY
40,65,25,10,1.0,1,CASY
40,65,25,10,1.2,0,
43,58,15,3,0.8,1,CASY
43,58,15,3,1.0,1,CASY
43,58,15,3,1.2,0,
43,58,15,5,0.8,1,CASY
43,58,15,5,1.0,1,CASY
43,58,15,5,1.2,0,
43,58,15,8,0.8,1,CASY
43,58,15,8,1.0,1,CASY
43,58,15,8,1.2,0,
43,58,15,10,0.8,1,CASY
43,58,15,10,1.0,1,CASY
43,58,15,10,1.2,0,
43,58,18,3,0.8,1,CASY
43,58,18,3,1.0,1,CASY
43,58,18,3,1.2,0,
43,58,18,5,0.8,1,CASY
43,58,18,5,1.0,1,CASY
43,58,18,5,1.2,0,
43,58,18,8,0.8,1,CASY
43,58,18,8,1.0,1,CASY
43,58,18,8,1.2,0,
43,58,18,10,0.8,1,CASY
43,58,18,10,1.0,1,CASY
43,58,18,10,1.2,0,
43,58,20,3,0.8,1,CASY
43,58,20,3,1.0,1,CASY
43,58,20,3,1.2,0,
43,58,20,5,0.8,1,CASY
43,58,20,5,1.0,1,CASY
43,58,20,5,1.2,0,
43,58,20,8,0.8,1,CASY
43,58,20,8,1.0,1,CASY
43,58,20,8,1.2,0,
43,58,20,10,0.8,1,CASY
43,58,20,10,1.0,1,CASY
43,58,20,10,1.2,0,
43,58,22,3,0.8,1,CASY
43,58,22,3,1.0,1,CASY
43,58,22,3,1.2,0,
43,58,22,5,0.8,1,CASY
43,58,22,5,1.0,1,CASY
43,58,22,5,1.2,0,
43,58,22,8,0.8,1,CASY
43,58,22,8,1.0,1,CASY
43,58,22,8,1.2,0,
43,58,22,10,0.8,1,CASY
43,58,22,10,1.0,1,CASY
43,58,22,10,1.2,0,
43,58,25,3,0.8,1,CASY
43,58,25,3,1.0,1,CASY
43,58,25,3,1.2,0,
43,58,25,5,0.8,1,CASY
43,58,25,5,1.0,1,CASY
43,58,25,5,1.2,0,
43,58,25,8,0.8,1,CASY
43,58,25,8,1.0,1,CASY
43,58,25,8,1.2,0,
43,58,25,10,0.8,1,CASY
43,58,25,10,1.0,1,CASY
43,58,25,10,1.2,0,
43,60,15,3,0.8,1,CASY
43,60,15,3,1.0,1,CASY
43,60,15,3,1.2,0,
43,60,15,5,0.8,1,CASY
43,60,15,5,1.0,1,CASY
43,60,15,5,1.2,0,
43,60,15,8,0.8,1,CASY
43,60,15,8,1.0,1,CASY
43,60,15,8,1.2,0,
43,60,15,10,0.8,1,CASY
43,60,15,10,1.0,1,CASY
43,60,15,10,1.2,0,
43,60,18,3,0.8,1,CASY
43,60,18,3,1.0,1,CASY
43,60,18,3,1.2,0,
43,60,18,5,0.8,1,CASY
43,60,18,5,1.0,1,CASY
43,60,18,5,1.2,0,
43,60,18,8,0.8,1,CASY
43,60,18,8,1.0,1,CASY
43,60,18,8,1.2,0,
43,60,18,10,0.8,1,CASY
43,60,18,10,1.0,1,CASY
43,60,18,10,1.2,0,
43,60,20,3,0.8,1,CASY
43,60,20,3,1.0,1,CASY
43,60,20,3,1.2,0,
43,60,20,5,0.8,1,CASY
43,60,20,5,1.0,1,CASY
43,60,20,5,1.2,0,
43,60,20,8,0.8,1,CASY
43,60,20,8,1.0,1,CASY
43,60,20,8,1.2,0,
43,60,20,10,0.8,1,CASY
43,60,20,10,1.0,1,CASY
43,60,20,10,1.2,0,
43,60,22,3,0.8,1,CASY
43,60,22,3,1.0,1,CASY
43,60,22,3,1.2,0,
43,60,22,5,0.8,1,CASY
43,60,22,5,1.0,1,CASY
43,60,22,5,1.2,0,
43,60,22,8,0.8,1,CASY
43,60,22,8,1.0,1,CASY
43,60,22,8,1.2,0,
43,60,22,10,0.8,1,CASY
43,60,22,10,1.0,1,CASY
43,60,22,10,1.2,0,
43,60,25,3,0.8,1,CASY
43,60,25,3,1.0,1,CASY
43,60,25,3,1.2,0,
43,60,25,5,0.8,1,CASY
43,60,25,5,1.0,1,CASY
43,60,25,5,1.2,0,
43,60,25,8,0.8,1,CASY
43,60,25,8,1.0,1,CASY
43,60,25,8,1.2,0,
43,60,25,10,0.8,1,CASY
43,60,25,10,1.0,1,CASY
43,60,25,10,1.2,0,
43,62,15,3,0.8,1,CASY
43,62,15,3,1.0,1,CASY
43,62,15,3,1.2,0,
43,62,15,5,0.8,1,CASY
43,62,15,5,1.0,1,CASY
43,62,15,5,1.2,0,
43,62,15,8,0.8,1,CASY
43,62,15,8,1.0,1,CASY
43,62,15,8,1.2,0,
43,62,15,10,0.8,1,CASY
43,62,15,10,1.0,1,CASY
43,62,15,10,1.2,0,
43,62,18,3,0.8,1,CASY
43,62,18,3,1.0,1,CASY
43,62,18,3,1.2,0,
43,62,18,5,0.8,1,CASY
43,62,18,5,1.0,1,CASY
43,62,18,5,1.2,0,
43,62,18,8,0.8,1,CASY
43,62,18,8,1.0,1,CASY
43,62,18,8,1.2,0,
43,62,18,10,0.8,1,CASY
43,62,18,10,1.0,1,CASY
43,62,18,10,1.2,0,
43,62,20,3,0.8,1,CASY
43,62,20,3,1.0,1,CASY
43,62,20,3,1.2,0,
43,62,20,5,0.8,1,CASY
43,62,20,5,1.0,1,CASY
43,62,20,5,1.2,0,
43,62,20,8,0.8,1,CASY
43,62,20,8,1.0,1,CASY
43,62,20,8,1.2,0,
43,62,20,10,0.8,1,CASY
43,62,20,10,1.0,1,CASY
43,62,20,10,1.2,0,
43,62,22,3,0.8,1,CASY
43,62,22,3,1.0,1,CASY
43,62,22,3,1.2,0,
43,62,22,5,0.8,1,CASY
43,62,22,5,1.0,1,CASY
43,62,22,5,1.2,0,
43,62,22,8,0.8,1,CASY
43,62,22,8,1.0,1,CASY
43,62,22,8,1.2,0,
43,62,22,10,0.8,1,CASY
43,62,22,10,1.0,1,CASY
43,62,22,10,1.2,0,
43,62,25,3,0.8,1,CASY
43,62,25,3,1.0,1,CASY
43,62,25,3,1.2,0,
43,62,25,5,0.8,1,CASY
43,62,25,5,1.0,1,CASY
43,62,25,5,1.2,0,
43,62,25,8,0.8,1,CASY
43,62,25,8,1.0,1,CASY
43,62,25,8,1.2,0,
43,62,25,10,0.8,1,CASY
43,62,25,10,1.0,1,CASY
43,62,25,10,1.2,0,
43,65,15,3,0.8,1,CASY
43,65,15,3,1.0,1,CASY
43,65,15,3,1.2,0,
43,65,15,5,0.8,1,CASY
43,65,15,5,1.0,1,CASY
43,65,15,5,1.2,0,
43,65,15,8,0.8,1,CASY
43,65,15,8,1.0,1,CASY
43,65,15,8,1.2,0,
43,65,15,10,0.8,1,CASY
43,65,15,10,1.0,1,CASY
43,65,15,10,1.2,0,
43,65,18,3,0.8,1,CASY
43,65,18,3,1.0,1,CASY
43,65,18,3,1.2,0,
43,65,18,5,0.8,1,CASY
43,65,18,5,1.0,1,CASY
43,65,18,5,1.2,0,
43,65,18,8,0.8,1,CASY
43,65,18,8,1.0,1,CASY
43,65,18,8,1.2,0,
43,65,18,10,0.8,1,CASY
43,65,18,10,1.0,1,CASY
43,65,18,10,1.2,0,
43,65,20,3,0.8,1,CASY
43,65,20,3,1.0,1,CASY
43,65,20,3,1.2,0,
43,65,20,5,0.8,1,CASY
43,65,20,5,1.0,1,CASY
43,65,20,5,1.2,0,
43,65,20,8,0.8,1,CASY
43,65,20,8,1.0,1,CASY
43,65,20,8,1.2,0,
43,65,20,10,0.8,1,CASY
43,65,20,10,1.0,1,CASY
43,65,20,10,1.2,0,
43,65,22,3,0.8,1,CASY
43,65,22,3,1.0,1,CASY
43,65,22,3,1.2,0,
43,65,22,5,0.8,1,CASY
43,65,22,5,1.0,1,CASY
43,65,22,5,1.2,0,
43,65,22,8,0.8,1,CASY
43,65,22,8,1.0,1,CASY
43,65,22,8,1.2,0,
43,65,22,10,0.8,1,CASY
43,65,22,10,1.0,1,CASY
43,65,22,10,1.2,0,
43,65,25,3,0.8,1,CASY
43,65,25,3,1.0,1,CASY
43,65,25,3,1.2,0,
43,65,25,5,0.8,1,CASY
43,65,25,5,1.0,1,CASY
43,65,25,5,1.2,0,
43,65,25,8,0.8,1,CASY
43,65,25,8,1.0,1,CASY
43,65,25,8,1.2,0,
43,65,25,10,0.8,1,CASY
43,65,25,10,1.0,1,CASY
43,65,25,10,1.2,0,
45,58,15,3,0.8,1,CASY
45,58,15,3,1.0,1,CASY
45,58,15,3,1.2,0,
45,58,15,5,0.8,1,CASY
45,58,15,5,1.0,1,CASY
45,58,15,5,1.2,0,
45,58,15,8,0.8,1,CASY
45,58,15,8,1.0,1,CASY
45,58,15,8,1.2,0,
45,58,15,10,0.8,1,CASY
45,58,15,10,1.0,1,CASY
45,58,15,10,1.2,0,
45,58,18,3,0.8,1,CASY
45,58,18,3,1.0,1,CASY
45,58,18,3,1.2,0,
45,58,18,5,0.8,1,CASY
45,58,18,5,1.0,1,CASY
45,58,18,5,1.2,0,
45,58,18,8,0.8,1,CASY
45,58,18,8,1.0,1,CASY
45,58,18,8,1.2,0,
45,58,18,10,0.8,1,CASY
45,58,18,10,1.0,1,CASY
45,58,18,10,1.2,0,
45,58,20,3,0.8,1,CASY
45,58,20,3,1.0,1,CASY
45,58,20,3,1.2,0,
45,58,20,5,0.8,1,CASY
45,58,20,5,1.0,1,CASY
45,58,20,5,1.2,0,
45,58,20,8,0.8,1,CASY
45,58,20,8,1.0,1,CASY
45,58,20,8,1.2,0,
45,58,20,10,0.8,1,CASY
45,58,20,10,1.0,1,CASY
45,58,20,10,1.2,0,
45,58,22,3,0.8,1,CASY
45,58,22,3,1.0,1,CASY
45,58,22,3,1.2,0,
45,58,22,5,0.8,1,CASY
45,58,22,5,1.0,1,CASY
45,58,22,5,1.2,0,
45,58,22,8,0.8,1,CASY
45,58,22,8,1.0,1,CASY
45,58,22,8,1.2,0,
45,58,22,10,0.8,1,CASY
45,58,22,10,1.0,1,CASY
45,58,22,10,1.2,0,
45,58,25,3,0.8,1,CASY
45,58,25,3,1.0,1,CASY
45,58,25,3,1.2,0,
45,58,25,5,0.8,1,CASY
45,58,25,5,1.0,1,CASY
45,58,25,5,1.2,0,
45,58,25,8,0.8,1,CASY
45,58,25,8,1.0,1,CASY
45,58,25,8,1.2,0,
45,58,25,10,0.8,1,CASY
45,58,25,10,1.0,1,CASY
45,58,25,10,1.2,0,
45,60,15,3,0.8,1,CASY
45,60,15,3,1.0,1,CASY
45,60,15,3,1.2,0,
45,60,15,5,0.8,1,CASY
45,60,15,5,1.0,1,CASY
45,60,15,5,1.2,0,
45,60,15,8,0.8,1,CASY
45,60,15,8,1.0,1,CASY
45,60,15,8,1.2,0,
45,60,15,10,0.8,1,CASY
45,60,15,10,1.0,1,CASY
45,60,15,10,1.2,0,
45,60,18,3,0.8,1,CASY
